Ward,Total Population,Unemployment rate,Low income Percentage,ApprovedARH2017toPresent
1,115120,17%,13%,553
2,117200,13%,8%,244
3,139920,12%,11%,3402
4,104715,13%,12%,630
5,115675,16%,15%,533
6,107355,14%,12%,1073
7,111200,18%,15%,107
8,114820,12%,10%,326
9,104730,13%,11%,662
10,135400,10%,14%,2681
11,102385,13%,15%,742
12,114095,11%,13%,203
13,116930,15%,22%,3485
14,104555,13%,12%,695
15,101025,12%,13%,40
16,94335,15%,14%,1107
17,112590,14%,14%,1574
18,117130,13%,18%,59
19,108500,13%,12%,403
20,110095,16%,14%,673
21,111560,16%,13%,1470
22,103690,16%,15%,281
23,94025,17%,12%,0
24,102755,16%,15%,1796
25,101485,15%,8%,605
