Ward,Total Population,Unemployment rate,Low income Percentage
Toronto,2761285,14%,13%
1,115120,17%,13%
2,117200,13%,8%
3,139920,12%,11%
4,104715,13%,12%
5,115675,16%,15%
6,107355,14%,12%
7,111200,18%,15%
8,114820,12%,10%
9,104730,13%,11%
10,135400,10%,14%
11,102385,13%,15%
12,114095,11%,13%
13,116930,15%,22%
14,104555,13%,12%
15,101025,12%,13%
16,94335,15%,14%
17,112590,14%,14%
18,117130,13%,18%
19,108500,13%,12%
20,110095,16%,14%
21,111560,16%,13%
22,103690,16%,15%
23,94025,17%,12%
24,102755,16%,15%
25,101485,15%,8%
